,,Age_mean,24.2,24,23.1,23,20.7,25.8,23.11,23.24,22.5,25.4,24,38.57,33.71,21.2,20.06,20,23.5,19.4,20.16,22.64,24,19.6,19.7,27,,22,20.8,20.8,24.3,31.16,29,22.95,26.5,33.84,26.1,20,20,24,NA,24,21.5,22.6,21.5,22.5,33.85,22.7,22.3,20.1,20.4,20.4,22.4,20.1,23.3,20.47,23.3,20.16,20.4,20.4
,,Age_SD,NA,,NA,3.4,1.3,4.4,2.85,2.63,6,2.46,NA,5.27,13.09,NA,1.43,NA,4.9,1.32,2.27,2.69,3.5,1,NA,,,2,2.5,2.3,NA,5.78,NA,NA,5.51,7.13,NA,NA,NA,3,NA,NA,1.9,1.2,1.8,NA,12.65,1.9,2.35,1.4,NA,NA,1.6,1.3,4,0.97,2.7,1.5,NA,NA
,,Age_min,19.4,21,NA,NA,18,NA,18,18,19,21,18,30,NA,19,NA,18,NA,NA,NA,20,NA,NA,18,20,,19,18,NA,19,20,NA,NA,21,NA,23,18,18,NA,NA,21,NA,20,NA,19,NA,19,19,18,18,18,19,NA,NA,NA,NA,18,18,18
,,Age_max,31,27,NA,NA,23,17.9,28,28,41,31,31,50,NA,32,NA,30,NA,NA,NA,30,NA,NA,31,38,,26,27,NA,41,43,NA,NA,42,NA,31.7,24,31,NA,NA,29,NA,24,NA,24,NA,27,30,23,22,22,24,NA,NA,NA,NA,24,22,22
,,Diagnosis,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,Healthy,healthy,Healthy,healthy,healthy,,healthy,healthy,healthy,healthy,healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
,,Education,NA,graduate students,NA,NA,NA,NA,15.84,NA,NA,college,NA,,14.65,,,NA,undergraduate and postgraduate students and other,,,college student,NA,college,,,,students at the University,university students,NA,college students,GED to doctoral diploma,NA,NA,NA,13.33,graduate students,NA,NA,16,undergraduate students,college students,college student,NA,NA,undergraduate students,13.71,college students,NA,NA,undergraduate students,undergraduate students,University students,college students,NA,NA,NA,NA,undergraduate students,undergraduate students
,Demographics_group2,Size,,13,,,,,17,15,14,,,,17,,,,,,,,27,20,,,,,,18,,,,,,,12,,,,,,,,,,,,,15,,,,,,,,,,
,,Female,,7,,,,,11,11,8,,,,0,,,,,,,,12,10,,,,,,8,,,,,,,6,,,,,,,,,,,,,7,,,,,,,,,,
,,Race/ethnicity,,NA,,,,,native English speaker,,native-Chinese-speaking,,,,,,,,,,,,NA,Chinese,,,,,,NA,,,,,,,NA,,,,,,,,,,,,,Chinese,,,,,,,,,,
,,Age_mean,,24.23,,,,,71.71,71.6,23.6,,,,33.47,,,,,,,,67,19.5,,,,,,19.8,,,,,,,10.2,,,,,,,,,,,,,19.6,,,,,,,,,,
,,Age_SD,,21,,,,,4.69,4.55,2.87,,,,11.29,,,,,,,,6,1.2,,,,,,1.8,,,,,,,NA,,,,,,,,,,,,,1.5,,,,,,,,,,
,,Age_min,,27,,,,,61,61,21,,,,,,,,,,,,NA,NA,,,,,,NA,,,,,,,9.5,,,,,,,,,,,,,17,,,,,,,,,,
,,Age_max,,NA,,,,,80,80,29,,,,,,,,,,,,NA,NA,,,,,,NA,,,,,,,10.8,,,,,,,,,,,,,22,,,,,,,,,,
,,Diagnosis,,healthy,,,,,healthy,healthy,healthy,,,,healthy,,,,,,,,healthy,Healthy,,,,,,healthy,,,,,,,Healthy,,,,,,,,,,,,,Healthy,,,,,,,,,,
,,Education,,NA,,,,,15.35,,,,,,14.29,,,,,,,,,,,,,,,NA,,,,,,,NA,,,,,,,,,,,,,NA,,,,,,,,,,
,Demographics_group3,Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Race/ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Age_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Age_SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Age_min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Age_max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Recruitment,Channel,,university,university,NA,an advertisement on a Tufts University community website,University of Toronto community,"Harvard University,Massachusetts General Hospital","Harvard University,Massachusetts General Hospital",Peking University,Peking University,Local Dartmouth community,Charite´Universitatsmedizin,"via advertisements posted  at the RWTH Aachen University, Germany","Harvard University, Cambridge",Cardiff University,the local Dartmouth community,Novosibirsk State University,University of Texas,University of Texas,university,Cornell University,Peking University,,,,University of Liège,university of Groningen,NA,MIT community,via fliers and targeted advertising on social media as part of a larger study,University of California,Stanford University,NA,university,"via summer camps, posted flyers, and mass mailings; UCLA",NA,NA,University of Wisconsin—Madison campus,Seoul National University in South Korea,NA,University of Utrecht,NA,Yale University community,Southwest University,"Internet, a nearby orthopedic hospital, university campus",Chinese college students,Tsinghua University,Minzu University of China,Capital Normal University,Capital Normal University,Southwest University,Southwest University,NA,NA,NA,Southwest University,Capital Normal University,Capital Normal University
,,Location,"London, UK",US,"Pennsylvania, US","Liège, Belgium","Massachusetts, US",,"Massachusetts, US","Massachusetts, US","Beijing, China","Beijing,China","New Hampshire, US","Berlin,Germany","Aachen, Germany","Massachusetts, US","Cardiff, UK","New Hampshire, US","Novosibirsk,Russia","Austin, USA","Austin, USA",Shanghai，China,"New York, USA","Beijing,China","Toronto, Canada","Copenhagen, Denmark",,"Liège, Belgium","Groningen, The Netherlands","Groningen, The Dutch","Massachusetts, USA","Oregon, US","California, US","California, US","Aachen, German","Aachen, Germany","California, US","Massachusetts, US","Massachusetts, US","Wisconsin,USA","Seoul, Korea","Seoul, Korea","Utrecht, the Netherlands","Leiden, Netherlands","Yale, US","Chongqing, China","Zurich, Switzerland","Beijing,China","Beijing, China","Beijing, China","Beijing, China","Beijing, China","Chongqing, China","Chongqing,China","Kyoto, Japan","Chongqing, China","Hiroshima, Japan","Chongqing, China","Beijing, China","Beijing, China"
Self-Reference Effect,verbal,,"the processing subject  (i.e., the self) refers to itself(Benoit,2010).",NA,Symons and Johnson: better memory for words encoded with refer-ence to oneself than others,NA,NA,"words processed with reference to the self (some studies used nouns, not all of which had emotional valence) are generally better remembered than material processed in semantic terms(Symons&Johnson,1997)",NA,NA,NA,NA,NA,"self-referential processing, broadly defined by processing of information related to one's own person(Northoff et al. 2006)",NA,NA,NA,"
No
self is a unique cognitive structure that pos-sesses extraordinary or additional mnemonic abilities",NA,NA,NA,"Yes
information processed with reference to the self is better remembered than information processed with reference to others",NA,NA,NA,NA,,"Powell:a general (context-independent) self-representation and a set of context-dependent selves that represent personal attributes in particular contexts (e.g., as a student, as a daughter",self-reflection produces a unique activation within the cortical midline(compared to other-reflection),NA,NA,NA,NA,NA,NA,"Yes
Self-related information is processed rather deep and elaborate (‘self-reference effect’; Symons and Johnson, 1997).","No
The capacity to appreciate oneself as a distinct, unified, and enduring entity with abstract qualities such as intelligence and agreeableness","Yes
memory enhancement of self vs other in conceptual self-reference task","Yes
1. memory performance for items that participants self-selected vs those randomly selected by the computer",NA,"Yes
information relevant to the self is processed and stored in a more elaborate form than other types of information, individuals tend to remember the words that appear in the self condition better than words in the other or in the font condition. This phenomenon is called the self-reference effect (SRE).","Yes
information relevant to the self is processed and stored in a more elaborate form than other types of information, individuals tend to remember the words that appear in the self condition better than words in the other or in the font condition. This phenomenon is called the self-reference effect (SRE).","Yes
such as thinking about one’s preferences or personality traits",NA,No: The experience of having a self is inextricably linked to the understanding that self is distinct from “other.”,"Yes
self referential processing yields superior memory compared with information encoded using semantic and other-referential encoding strategies , that is the SRE in the memory.",NA,NA,NA,NA,Self-reference effect is observed when the degree of self-reference of the to-be-remembered materials is varied.,Self-reference effect is observed when the degree of self-reference of the to-be-remembered materials is varied.,NA,NA,The self-reference effect (SRE) is defined as better recall or recognition performance when the memorized materials refer to the self.,"Yes
a pervasive bias toward preferentially processing self-related information compared with other-related information","Yes
material processed with reference to oneself is more readily remembered, which is called the self-reference effect",NA,Self-reference effect is observed when the degree of self-reference of the to-be-remembered materials is varied.,Self-reference effect is observed when the degree of self-reference of the to-be-remembered materials is varied.
,operational,behave,"No
more accurate performance in the self than in the other condition, which, in turn, yielded higher percent correct values than the syllables condition",No,"Yes
behavioral self-reference effect: first-person statement is better than third-person statement in recognition memory",No,NA,NA,NA,NA,"No
The recognition scores(i.e., the proportion of hits minus false alarms)were higher for the traits related to the self than to others","the results of memory test revealed a self-reference superiority effect in memory(Han,2010)","participants better remembered words that were
  self-referenced than those described an intimate
  other or a case judgment.",NA,NA,NA,"Yes 
they are performed faster and memorized better than evaluations 
that only involve others (Rogers, Kuiper, & Kirker, 1977).","No
better memory performance (hit-false alarms, recognition reaction time)","Yes
the effect of cultural values(self-reported independent,interdependent self-construal)",NA,NA,"Yes
1.memory performance(hit rate)
2.Self-reference task VS Other-reference task",NA,"Yes
the memory performance of R- judgment",NA,"No
retrieval of memory of personally experienced events (‘‘episodic memory’’) ",,"Yes
Response times (RTs) for judgments",NA,NA,NA,NA,"No
1. judgment (reaction time)","No
1. reaction time(self, close similar speed)","No
1. self-ascription of positive triats (higher number)","No
1. memory performance(accuracy)
2. self-ascription of positive traits(higher rate)",NA,"Yes
1. memory performance(accuracy)","Yes
1. memory performance(accuracy)","No
1. encoding(response time)","Yes
1. memory peformance(recognition socre)","Yes
1. memory peformance(recognition socre)",NA,NA,"No
1. encoding(response time)",intentional directed forgetting of self referential information vs that of other-referential information,NA,"Yes
recognition priority in self vs other condition",NA,"Yes
memory peformance(accuracy)","Yes
memory peformance (accuracy)","Yes
memory peformance (accuracy)","No
Judgment(reaction time)",NA,"Yes
Memory performance(accuracy)","Yes(self-prioritization effect)
subtracting the self-probe’s RT from stranger-probe’s and extracted the mean β values of the above four WM regions","Yes
memory performance(accuracy)",NA,"Yes
memory peformance (accuracy)","Yes
memory peformance (accuracy)"
,,neuro,"Self >syllables,friend>syllables,self>friend, friend>self",self>mother,self>Obama,"self>close friend or relative, third person perspective>first person perspective","Self-Neutral>Fixation,Self-Positive>Fixation,Self-Negative>Fixation,Other-Neutral>Fixation,Other-Positive>Fixation,Other-Negative>Fixation",self>other,"self>Einstein,Einstein>self,Positive self-negative self","Elderly>Young, Self Remembered>Einstein Remembered",self>font-judgment,"self>font,self>Zhu Rongji,self>Sakyamuni,self>Jesus","self>friend, self>case,friend>self","Self-referential >social,social>self-referential,self-referential>non-self-referential","Self>Julia Roberts or Brad Pitt, Self>Lexical,Julia Roberts or Brad Pitt>Self,Lexical>Self,Julia Roberts or Brad Pitt>Lexical ","self>Bush,Bush>self",Self-other>familiar-other,self>Bush,Me>Friends>Stranger>Unpleasant,NA,Self>Unrelated other,"self>Bruce Lee((encoding, (SRR+SIR+SF - ORR - OIR - OF)) ,SRR>SIR ,other-relevant>other-irrelevant",partner and self>parent and friend,"1PP:self>font,self>friend,self>famous
3PP:self>friend,self>famous,self>font",self>friend,"self>Queen,self>Control",,"Self General>Control,Self Specific>Control,",[self>semantic]>[other>semantic],"Self>Semantic,an acquaintance>Semantic,Self>an acquaintance,an acquaintance>Self,Self>Semantic,an acquaintance>Semantic, Self>an acquaintance,an acquaintance>Self,Self>Semantic,Positive Self>Semantic,Negative Self>Semantic","self>mother,Bush>mother","Self>Change,DS>DU","Self > Syllable, close>syllable, Positive > Syllable","Self>friend, self>other, friend>self, other>self","self>lex, (self_sad>happy)>(lex_sad>happy), (self_sad>neutral)>(lex_sad>neutral), (self_happy>sad)>(lex_happy>sad), (self_happy>neutral)>(lex_happy>neutral)","self-evaluation>lexical, positive self >lexical, positive self>positive other, Self-negative > self-positive","Self>rest, Harry Potter>rest, self>Harry Potter, Harry Potter>self","self>Bush,  Bush>self, self>computer, computer>self","self>computer, computer>self","Self>semantic, other>semantic, self>other",NA,Self_Personal + Self_Collective>Other_personal + Other_Collective; Self_Personal + Other_personal>Self_Collective + Other_Collective; Self_Collective + Other_Collective>Self_Personal + Other_personal ,"self>control, other>control, self>other",self>mother,(Self vs. Letter) ^ (Mother vs. Letter),"self>other, Self-reference_forget>Self-reference_remember, Luxun-reference_forget>Luxun-reference_remember","self>control, other>control","Self>Liu, Self>father, Self>best friend, Self>Font, Mother>Liu, Mother>Font, Father>Font, Friend>Font",self>Hu Jintao,"Self>other, mother>other, self>mother, mother>other","self>semantic, self>other",,"self>other, self>semantic","self evaluation> celebrity evaluation, self feedback>celebrity feedback ","Self>Naoto Kan, Self-correct>Naoto Kan -correct, Self-miss>other-miss, self-correct>other-correct",self-friend>friend-stranger,"self>semantic, other>semantic, self>other, other>self","Personal self-worth>control, Relational self-worth>control, Collective self-worth>control","self>semantic, self>other",
,self,Terms_self,,self-construal,,,self-positivity bias,,,,,,,,Self-appraisal processes,self-reflection,Self-reflection,NA,NA,self-evaluation,self-evaluation,self-descriptiveness,NA,"self-reflection, self-concept, self-awareness","self-concept,self-reflection",self-representation,,"   self-referential, self-knowledge, self-concept","self-reflection,self- referential ","self-reflection,self-referential ","self-reflection,self-referential","self-evaluation,self-referential,   self-reflection ",self-knowledge,"self-knowledge, self-concept","self-evaluation, self-ascription, self-perception","Self-evaluation, self-perception",self-knowledge,conceptual knowledge of one's own traits,conceptual knowledge of one's own traits,"Metacognitive evaluation of oneself, self-relevance",self-representations,self-representations,NA,self-concept,self concept,NA,self-reflection,self-concept,dialectical self-thinking.,self-reflection,NA,NA,"Self-esteem, self-evaluation","self-esteem, self-evaluation",NA,self-bias,NA,NA,NA,NA
,,Aspect_self,,,,,"positive self, negative self",,"positive self, negative self",,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,,two domains of self-concept: social and verbal–academic competence,,,,personal and social self,personal and social self,,"physical, academic and prosocial",,,,,,,,,,,,,,,,
General,Task_info,Aim,"1.to tested the prediction that mrPFC might be involved in appraising the personality traits of another person to the degree that this person is perceived as similar to oneself. 
2.to examined whether recruiting common processes for thinking about oneself and others might impact on subsequent memory for those judgments. ","
to examine how acculturation period alters brain activity associated with self-referential cognition.","to test whether acting with a group will reduce spontaneous self-referential processing in the moral domain and, in turn, facilitate competitor harm.", to disentangle the neural correlates of self-referential processing and perspective taking,whether the mPFC would show effects of the self-positivity bias in a paradigm that probed participants’ self-concept without any requirement of explicit self-judgment,to identify the brain regions mediating interactions between self-related processing and emotional processing,to explore whether medial prefrontal cortex could be engaged similarly by both young and elderly adults under appropriate task demands,"1.to explore age differences in the memory encoding network as a function of the social and self-relevant nature of stimuli
2.to assess the degree to which the specificity of the mPFC response to social information was intact with age.",to assess whether this religious belief is associated with neural correlates of self-referential processing distinct from that of non-religious people.,1.to investigated neural consequences of Buddhist belief and practice on self-referential processing.,use event-related fMRI to examine the extent to which MPFC activity differentiates self from close others.,to explores the functional overlap and dissociability of self-referential and social stimulus processing.,investigating the neural correlates during attribution of gender stereotypes to oneself or to a prototypical female and male actor,to examined the extent to which these different forms of self-reflection are subserved by common mechanisms.,investigate whether self-other comparisons rely on the activity of these self-relevant structures instead of frontoparietal regions,to investigate potential neural substrates of self-referential processing,to directly compare DMN vs. TPN connectivity during self- and other-appraisal in the trait adjective judgment task for different others varying in the degree of their closeness to the self,to examine whether MPFC modulation that distinguishes self-evaluation from evaluation of a non-close other relates to (a) memory effects presumed to reflect deeper encoding and/or (b) socioemotional association (disentangled from previous knowledge),"to examine whether MPFC (1) indexes socioemotional association in relation to repetition suppression, target effects, trait relevance, and MVPA and (2) is parametrically modulated by perceived similarity","to examine the neural correlates of self-descriptiveness and self-reference effect in
 memory",to examine the neural representations of mentalizing about known others in young and older adults across a continuum of social closeness,to investigate the behavioral and neural activity differences between 1PP and 3PP when Buddhists considered themselves,to gain insight into the mechanisms involved in processing these different aspects of the self and the other,to determine whether medial parietal cortex in this network is essential forepisodic memory retrieval with self-representation,,"to invesitage this (context-independent/context-dependent self-representation)
issue by examining the neural correlates of both kinds of self-knowledge","1) to clarify whether insula activity would be intrinsically involved in self-reflection, and 2) to replicate and expand current understanding of the neural network underlying self-reflection using an fMRI task previously associated with robust activity in midline structures",to examine investigate brain activation associated with self-reflection in individuals with high as compared to individuals with low positive-dimension PP,to examine whether differences between self and others are related to differences in knowledge about character and appearance,to examine the behavioral and neural correlates of parenting self-evaluation,"to examine the common and distinct neural bases of direct appraisals of the self, close others, and normative judgments of trait desirability","1. to compare direct appraisals of the self with a close other and a non-close other to see how activation varies with relationship intimac
2. to examine the common and distinct neural bases of (1) direct appraisals of self, a close other or a non-close other, and (2) reflected appraisals made from the perspective of a close or a non-close other",to examine the influence of mood on self-evaluation,to explore the cerebral correlates of positive self-evaluation and its influence on memory,"1. to identify the neural correlates of self- and social knowledge retrieval in children
2. to directly compare the systems involved in these processes in children and adults",to investigate whether the cognitive processes of agentic self(being an agent who acts to achieve oneʼs own goals) and conceptual self(knowledge of one's traits) overlap ,to investigate whether the cognitive processes of agentic self(being an agent who acts to achieve oneʼs own goals) and conceptual self(knowledge of one's traits) overlap ,to compared metacognitive evaluation associated with two referentially discrete targets: oneself and a significant other,to confirm the existence of the SRE for both personality traits and social identities,"to assess self-referential brain activities, using fMRI",to investigate changes in coupling between areas of the DMN during self-referential processing,to investigate whether evaluating self- and mother-traits in three domains relies on similar or distinct brain regions,to compare BOLD signal changes during self and mother conditions of a self-reference effect (SRE) task,to investigate how emotion and self-referential processing influence directed forgetting,to investigate neural processes when people reflect on oneself and others in relationships ,"to test the hypothesis that close others such as mother, father and best friend are differentially represented in collectivistic (i.e. Chinese) brains in relation to the self.",to test whether chronic dialectical thinkers would be more likely to utilize the dACC,to investigate the significant role of religion on the functional anatomy of self-representation,"to investigate Chinese culture’s influence on the concept of self, in which the self includes mother","to investigate Chinese culture’s influence on the concept of self, in which the self includes mother",to investigate neural mechanism underlying the association between levels of self-esteem and processing of self-relevant information.,to examine whether and how neural activity related to self–evaluation and social feedback can be related to one’s trait self–esteem and whether and how trait self–esteem can be associated with the neural activity related to both task and attitude,to investigate brain activities during the processing of referential information relating to either the self or a distant other,to elucidate the neural mechanisms underlying this self-bias,to investigate neural activity associated with self-referential processing of emotional stimuli,"to identify neurological indicators in the processing of personal, relational, and collective self-worth and to investigate whether these neural indicators could reflect individual differences of self-esteem","to investigate Chinese culture’s influence on the concept of self, in which the self includes mother","to investigate Chinese culture’s influence on the concept of self, in which the self includes mother"
