第一作者,最后作者,年份,期刊,文章_编号,研究,样本_数量,女性数量,种族_高加索人,种族_蒙古人,种族_黑人,种族_其他,组别,年龄_平均数_组1,年龄_平均数_组2,年龄_平均数_组3,年龄_最小值_组1,年龄_最小值_组2,年龄_最小值_组3,年龄_最大值_组1,年龄_最大值_组2,年龄_最大值_组3,教育_组1,教育_组2,教育_组3,招募_渠道,数据_收集_地点,,,
Lombardo,Baron-Cohen,2010,Brain,Lombardo_2010_Brain,1,62,0,NA,NA,NA,NA,"Healthy, Unhealthy",27.97,26.59,NA,18,18,NA,42,41,NA,NA,NA,NA,University of Cambridge,"Cambridge,UK",,,
Long,Cunningham,2020,Cortex,Long_2020_Cortex,1,38,22,16%,52%,8%,24%,Healthy,19.7,NA,NA,18,NA,NA,31,NA,NA,NA,NA,NA,NA,"Toronto, Canada",,,
Lou,Lisanby,2004,PNAS,Lou_2004_PNAS,1,13,7,100%,0,0,0,Healthy,27,NA,NA,20,NA,NA,38,NA,NA,NA,NA,NA,NA,"Copenhagen, Denmark",,,
Ma,Han,2011,Brain,Ma_2011_Brain_exp1,1,23,12,0,100%,0,0,Healthy,22,NA,NA,18,NA,NA,28,NA,NA,NA,NA,NA,Peking University,"Beijing,China",,,
Ma,Han,2011,Brain,Ma_2011_Brain_exp2,2,38,18,0,100%,0,0,Healthy,23.2,NA,NA,19,NA,NA,28,NA,NA,NA,NA,NA,Peking University,"Beijing,China",,,
Martial,D'Argembeau,2018,Brain and Cognition,Martial_2018_BrainCogn,1,20,12,NA,NA,NA,NA,Healthy,22,NA,NA,19,NA,NA,26,NA,NA,NA,NA,NA,University of Liège,"Liège, Belgium",,,
McAdams,Krawczyk,2014,Social Cognitive and Affective Neuroscience,McAdams_2014_SCAN,1,36,36,NA,NA,NA,NA,"Healthy, Unhealthy",24.5,26.1,NA,18,18,NA,39,40,NA,15.8,14.9,NA,NA,"Texas, us",,,
McAdams,Krawczyk,2016,Social Cognitive and Affective Neuroscience,McAdams_2016_SocCognAffectNeurosci,1,59,59,NA,NA,NA,NA,Healthy,27.9,28.6,NA,20,NA,NA,45,NA,NA,NA,NA,NA,"on-campus flyers, referrals, websites","Texas, us",,,
ModiNos,Aleman,2009,PLoS One,ModiNos_2009_PLoSOne,1,16,6,100%,0,0,0,Healthy,20.8,NA,NA,18,NA,NA,27,NA,NA,university students,NA,NA,university of Groningen,"Groningen, The Netherlands",,,
ModiNos,Aleman,2011,Neuropsychology,ModiNos_2011_Neuropsychology,1,36,16,NA,NA,NA,NA,Healthy,20.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Groningen, The Dutch",,,
Moran,Gabrieli,2011,Journal of Cognitive Neuroscience,Moran_2011_JCognNeurosci,1,21,13,NA,NA,NA,NA,Healthy,24.3,NA,NA,19,NA,NA,41,NA,NA,NA,NA,NA,MIT community,"Massachusetts, USA",,,
Noll,Fisher,2018,Social Cognitive and Affective Neuroscience,Noll_2018_SocCognAffectNeurosci,1,37,37,86.50%,5.40%,0,8.10%,Healthy,31.16,NA,NA,20,NA,NA,43,NA,NA,NA,NA,NA,via fliers and targeted advertising on social media as part of a larger study,"Oregon, US",,,
Ochsner,D’Esposito,2005,Neuroimage,Ochsner_2005_Neuroimage,1,17,9,NA,NA,NA,NA,Healthy,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,University of California,"California, US",,,
Ochsner,D’Esposito,2005,Neuroimage,Ochsner_2005_Neuroimage,2,16,9,NA,NA,NA,NA,Healthy,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stanford University,"California, US",,,
Oetken,Pohl,2017,Neuropsychologia,Oetken_2017_Neuropsychologia,1,20,11,NA,NA,NA,NA,Healthy,26.5,NA,NA,21,NA,NA,42,NA,NA,NA,NA,NA,NA,"Aachen, German",,,
Park,An,2020,Australian & New Zealand Journal of Psychiatry,Park_2020_AustNZJPsychiatry,1,50,19,NA,NA,NA,NA,"Healthy, Unhealthy",21.6,21.8,NA,NA,NA,NA,NA,NA,NA,13,14.5,NA,"Internet, program","Seoul, Korea",,,
Pauly,Habel,2013,Social Cognitive and Affective Neuroscience,Pauly_2013_SCAN,1,24,12,100%,0,0,0,Healthy,33.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aachen, Germany",,,
Pauly,Habel,2014,Social Cognitive and Affective Neuroscience,Pauly_2014_SCAN,2,26,12,NA,NA,NA,NA,"Healthy, Unhealthy",34.46,36.23,NA,NA,NA,NA,NA,NA,NA,13.31,12.69,NA,"inpatient ward and outpatient clinic of the Department of Psychiatry,Psychotherapy, and Psychosomatic Medicine, RWTH Aachen University","Aachen, Germany",,,
Pfeifer,Dapretto,2007,Journal of Cognitive Neuroscience,Pfeifer_2007_JCognNeurosci,1,24,12,100%,0,0,0,Healthy,26.1,NA,NA,23,NA,NA,31.7,NA,NA,graduate students,NA,NA,Internet: mails and flyers,"California, US",,,
Powell,Mitchell,2010,Journal of Cognitive Neuroscience,Powell_2010_JCognNeurosci_exp2,1,13,9,100%,0,0,0,Healthy,20,NA,NA,18,NA,NA,24,NA,NA,NA,NA,NA,NA,"Massachusetts, US",,,
Powell,Mitchell,2010,Journal of Cognitive Neuroscience,Powell_2010_JCognNeurosci_exp3,2,18,8,100%,0,0,0,Healthy,20,NA,NA,18,NA,NA,31,NA,NA,NA,NA,NA,NA,"Massachusetts, US",,,
Sarsam,Kinderman,2013,PLoS One,Sarsam_2013_PLoSOne,1,27,18,100%,0,0,0,Healthy,26.4,NA,NA,18,NA,NA,65,NA,NA,15,NA,NA,hospital; community,"Liverpool, United Kingdom",,,
Schmitz,Johnson,2004,Neuroimage,Schmitz_2004_Neuroimage,1,18,9,NA,NA,NA,NA,Healthy,24,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,University of Wisconsin,"Wisconsin,USA",,,
Sul,Kang,2011,Social Neuroscience,Sul_2011_Soc Neurosci-UK,1,50,50,0,100%,0,0,Healthy,24,NA,NA,21,NA,NA,29,NA,NA,college students,NA,NA,Seoul National,"Seoul, Korea",,,
Sul,Kang,2011,Social Neuroscience,Sul_2011_Soc Neurosci-UK,2,19,19,0,100%,0,0,Healthy,24,NA,NA,21,NA,NA,29,NA,NA,college students,NA,NA,NA,"Seoul, Korea",,,
Van,Vink,2010,Human Brain Mapping,Van_2010_HumBrainMapp,1,19,19,100%,0,0,0,Healthy,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,University of Utrecht,"Utrecht, the Netherlands",,,
Van Buuren,Kahn,2012,Schizophrenia Research,Vanderwal_2008_Neuroimage,1,36,36,NA,NA,NA,NA,Healthy,4.46,NA,NA,NA,NA,NA,NA,NA,NA,6.3,6.1,NA,the database of the Genetic Risk and Outcome of Psychosis,"Utrecht, the Netherlands",,,
Van der Cruijsen,Crone,2017,Brain and Cognition,Van_2017_BrainandCogn,1,30,30,NA,NA,NA,NA,Healthy,22.6,NA,NA,20,NA,NA,24,NA,NA,NA,NA,NA,NA,"Leiden,Netherlands",,,
Vanderwal,Schultz,2008,Neuroimage,Vanderwal_2008_Neuroimage,1,17,17,NA,NA,NA,NA,Healthy,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,University,"Yale, US",,,
W. Yang,Q.Zhang,2013,PLoS One,W.Yang_2013_PLoSOne,1,25,25,0,100%,0,0,Healthy,22.5,NA,NA,19,NA,NA,24,NA,NA,undergraduate students,NA,NA,Southwest University,"Chongqing, China",,,
Wade-Bohleber,Richter,2019,Behavioural Brain Research,Wade-Bohleber_2019_BehavBrainRes,1,35,35,NA,NA,NA,NA,Healthy,33.85,NA,NA,NA,NA,NA,NA,NA,NA,13.71,NA,NA,"Internet, a nearby orthopedic hospital, university campus","Zurich, Switzerland",,,
Wang,Han,2012,Social Cognitive and Affective Neuroscience,Wang_2012_Soc CognAffectNeurosci,1,32,32,0,100%,0,0,Healthy,22.7,NA,NA,19,NA,NA,27,NA,NA,NA,NA,NA,Chinese college students,"Beijing,China",,,
Wang,Sui,2016,Frontiers in Psychology,Wang_2016_FrontPsychol,1,27,27,0,100%,0,0,Healthy,22.3,NA,NA,19,NA,NA,30,NA,NA,NA,NA,NA,Tsinghua University,"Beijing, China",,,
Wu,Zhang,2010,Soc Cogn Affect Neurosci,Wu_2010_SCAN,1,31,31,0,100%,0,0,"Han, Tibetan",20.1,19.6,NA,18,17,NA,23,22,NA,NA,NA,NA,Minzu University of China,"Beijing,China",,,
Y. Zhu,Han,2007,NeuroImage,Y. Zhu_2007_Neuroimage,1,26,26,38.46%,50%,7.69%,3.85%,Healthy,22.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Peking University,"Beijing,China",,,
Yamawaki,Tsukiura,2017,Human Brain Mapping,Yamawaki_2017_HumBrainMapp,1,19,19,0,100%,0,0,Healthy,22.5,NA,NA,NA,NA,NA,NA,NA,NA,Graduates or undergraduates,NA,NA,Kyoto University or Osaka University,"Kyoto/Osaka, Japan",,,
Yang,Zhang,2012,Neuropsychologia,Yang_2012_Neuropsychologia,1,17,17,0,100%,0,0,Healthy,22.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Southwest University,"Chongqing, China",,,
Yang,Han,2016,Scientific Reports,Yang_2016_SciRep,1,25,25,0,100%,0,0,Healthy,20.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Southwest University,"Chongqing,China",,,
Yaoi,Osaka,2015,Frontiers in Human Neuroscience,Yaoi_2015_FrontHumNeurosci,1,18,18,NA,NA,NA,NA,Healthy,23.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kyoto, Japan",,,
Yin,Egner,2021,The Journal of Neuroscience,Yin_2021_JNeurosci,1,28,28,NA,NA,NA,NA,Healthy,20.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chongqing, China",,,
Yoshimura,Yamawaki,2009,Brain and Cognition,Yoshimura_2009_BrainCogn,1,15,15,0,100%,0,0,Healthy,23.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hiroshima, Japan",,,
Zeng,Yang,2021,Journal of Personality,Zeng_2021_JournalPers,1,50,50,0,100%,0,0,Healthy,20.16,NA,NA,18,NA,NA,24,NA,NA,NA,NA,NA,Southwest University,"Chongqing, China",,,
Zhang,Y.Zhu,2006,Science in China: Series C Life Sciences,Zhang_2006_SciChinaLifeSci_exp1,1,7,7,0,100%,0,0,Healthy,20.4,NA,NA,18,NA,NA,22,NA,NA,undergraduate students,NA,NA,Capital Normal University,"Beijing, China",,,
Zhang,Y.Zhu,2006,Science in China: Series C Life Sciences,Zhang_2006_SciChinaLifeSci_exp2,2,7,7,0,100%,0,0,Healthy,20.4,NA,NA,18,NA,NA,22,NA,NA,undergraduate students,NA,NA,Capital Normal University,"Beijing, China",,,
Zhang,Meer,2015,NeuroImage,Zhang_2015_Neurolmage,1,55,55,NA,NA,NA,NA,"Bipolar disorder, schizophrenia, Healthy",29.95,35.53,41.29,NA,NA,NA,NA,NA,NA,6,5.65,5.76,NA,"Groningen, The Netherlands",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
